metric,value,ci_low,ci_high
macro_f1,0.9912264109653047,0.9894743457257507,0.9928019144442263
balanced_accuracy,0.9933203115601082,0.9921003869591835,0.9945603371522306
accuracy,0.99385,0.9928395783688246,0.9948813675686942
