method,auroc,auprc,prevalence
logreg,0.42544442522396997,0.024875856606323864,0.030644622578490315
knn_pca,0.5995922899244525,0.03485274072815547,0.030644622578490315
scvi_knn,0.6042423864036712,0.03625455348638469,0.030644622578490315
scanvi,0.48011971825861877,0.026759577516520174,0.030644622578490315
scanvi_latent_distance,0.6736146236723692,0.041440343580903025,0.030644622578490315
