Embedding,Isolated labels,KMeans NMI,KMeans ARI,Silhouette label,cLISI,BRAS,iLISI,KBET,Graph connectivity,PCR comparison,Batch correction,Bio conservation,Total
PCA (uncorrected),0.62635845,0.6227892059313258,0.44639028052231944,0.6012628,1.0,0.8696897,0.11799419,0.2253156557664997,0.8487228080754453,0.0,0.41234447121840123,0.659360122680664,0.5605538620957589
scVI,0.5724402,0.9392933927285672,0.9585281271216376,0.54380155,1.0,0.8744511,0.09489429,0.10823856480772381,0.9667794334034253,0,0.4088726778015621,0.8028125762939453,0.6452366168969921
scANVI,0.63191587,0.8994124357324252,0.9143763129709821,0.6034776,1.0,0.8933194,0.25397134,0.24038076283685259,0.891956435524596,0.5871951451527831,0.5733646100297507,0.809836483001709,0.7152477338129256
Metric Type,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score
